Code	Type	Message	Explanation	Solution	Property
	NOTAUTHED	The Authorisation has been declined by the bank. Please try a different card.			
	NOTAUTHED	The Authorisation has been declined by the bank. You will need to try a different card type.			
		Please select the card type you would like to use for the transaction.			
	REJECTED	The Authorisation has been rejected by the Vendor due to insufficient authentication. Please try a different card.			
	INVALID	Simulator cannot find your vendor name in its database. The simulator saw the Vendor Name '<vendorname>'			
0	OK	The Authorisation was Successful.			
1		The message received was not valid XML.			
2		Invalid command. XML root node should be vspaccess.			
8		The specified and combination is not valid, or the user may be locked out.			
9		Error (retrieving/updating or inserting) data. Please email support@sagepay.com with this error.			
10		Cannot validate the <signature> value.		There is a problem with the details that have been supplied. Please check and retry.	
11		You cannot execute the specified command without administrative privileges.		There is a problem with the details that have been supplied. Please check and retry.	
13		The command passed in the <command> parameter was not recognised.		There is a problem with the details that have been supplied. Please check and retry.	
19		Error parsing the request XML. Check the format of your request message.		There is a problem with the details that have been supplied. Please check and retry.	
21		Cannot create the new user. Check that the user does not already exist.		There is a problem with the details that have been supplied. Please check and retry.	
38		The start date you have supplied is after the end date.		There is a problem with the details that have been supplied. Please check and retry.	
39		The end date is more than one month after the start date. You can only return reports at monthly intervals.		There is a problem with the details that have been supplied. Please check and retry.	
42		You must supply one of the following nodes with this command, either <vendortxcode> OR <vpstxid>.		There is a problem with the details that have been supplied. Please check and retry.	
43		Unable to find the transaction for the <vendortxcode> or <vpstxid> supplied.		There is a problem with the details that have been supplied. Please check and retry.	
44		The user does not have permission to view this transaction.		There is a problem with the details that have been supplied. Please check and retry.	
45		You cannot set the administrator password using vspaccess. Please contact support@sagepay.com if you need this reset.		There is a problem with the details that have been supplied. Please check and retry.	
77		A valid value is required.			
78		A valid value is required.			
99		Start Row and End Row range too large. The difference between the and value must be no greater than 50.			
200	OK	Success! Everything worked as expected.			
201	Created	Success! Everything worked as expected and a new resource has been created.			
204		element either not found, or present more than once.			
205		A valid value is required.			
211		value must be less than the value.			
235		More than 50,000 rows returned. Please refine the search.			
400	Bad Request	The syntax of the request was not understood by the server.	The message POSTed to the Sage Pay system was of an invalid type. This only occurs if there are problems with your POSTing component.		
401	Unauthorised	The request needs user authentication.	Authentication credentials are missing or incorrect.	This is a standard HTTP Error. Please check you code.	
402	Request Failed	The request was unsuccessful. Returned when a transaction is declined or rejected.			
403		The server has refused to fulfill the request.			
404	Not Found	The document/file requested by the client was not found.	The resource does not exist.		
405	Method Not Allowed	The method specified in the Request-Line is not allowed for the resource identified.	The method requested is not permitted against this resource.		
406		Not Acceptable			
407		Proxy Authentication Required			
408	Request Timeout	The client failed to send a request in the time allowed by the server.	Request timeout.		
409		Conflict			
410		The resource requested is no longer available and no forwarding address is available.			
411		Length Required			
412		Precondition Failed			
413		Request Entity Too Large			
414	REQUEST URL TOO LONG	The request was unsuccessful because the URL specified is longer than the server is willing to process.			
415		Unsupported Media Type :The request was unsuccessful because the entity of the request is in a format not supported by the requested resource for the method requested.			
416		Requested Range Not Satisfiable : The request included a Range request-header field, and none of the range-specifier values in this field overlap the current extent of the selected resource, and also the request did not include an If-Range request-header			
417		Expectation Failed : The expectation given in the Expect request-header could not be fulfilled by the server.			
422	Unprocessable Entity	The request was well-formed but contains invalid values or missing properties.			
500	Server Error	The request was unsuccessful due to an unexpected condition encountered by the server.	An issue occurred at Sage Pay.		
501		The request was unsuccessful because the server can not support the functionality needed to fulfill the request.			
502	Bad Gateway	The server received an invalid response from the upstream server while trying to fulfil the request.	An issue occurred at Sage Pay.		
503	SERVICE UNAVAILABLE	The request was unsuccessful to the server being down or overloaded.		This is a standard HTTP Error. Please check you code.	
504		Gateway Timeout : The upstream server failed to send a request in the time allowed by the server.			
505		HTTP Version Not Supported : The server does not support or is not allowing the HTTP protocol version specified in the request.			
1000	400	Incorrect request format			
1001	401	Authentication values are missing			
1002	401	Authentication failed			
1003	422	Missing mandatory field			
1004	422	Invalid length			
1005	422	Contains invalid characters			
1006	404	Merchant session key not found			
1007	422	The card number has failed our validity checks and is invalid			cardDetails.cardNumber
1008	422	The card is not supported			cardDetails.cardNumber
1009	422	Contains invalid value			
1010	422	Currency does not exist			
1011	422	Merchant session key or card identifier invalid			
1012	404	Transaction not found			
1013	403	Transaction type not supported			
1014	403	Transaction status not applicable			
1015	422	The request entity was empty			
1016	422	This parameter requires an integer			
1017	403	Operation not allowed for this transaction			
1115		<streamlinetnumber> element is only required for a Streamline merchant number.		There is a problem with the details that have been supplied. Please check and retry.	
2000	NOTAUTHED	The Authorisation was Declined by the bank.	The Authorisation attempt was Declined by the cardholder's card-issuing bank. This could be due to several reasons such as funds not being available, spending limit may have been reached or bank account has been closed.	We also return to you the 2 digit Decline Code from the bank. To determine what the code means you will need to contact your merchant bank as they are bank specific.	
2001	REJECTED	The Authorisation was Rejected by the vendor rule-base.	You will receive this error message when a transaction has been rejected due to either your AVS/CV2 rulebase or the customer has had three failed attempts to correctly enter their card details. The latter rulebase is set up as default on all Sage Pay accounts.	The transaction would has failed due to the fraud rulebase which you have set up onto your account. The only way to prevent this from happening, would be to remove or relax your current rulebase, however this would apply to all your transactions.	
2002	NOTAUTHED	The Authorisation timed out.	The authorisation process took longer than expected and therefore the Sage Pay system had timed out the transactions.  This could be caused by several reasons such as authorisation communication and high volumes of transactions being authorised.		
